Comment,Designator,Footprint,LCSC
1N4148W,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14",SOD-123,C81598
1uF,"C6, C7",0603_C,C15849
10k,"R1, R2, R3, R4, R5, R6, R7, R8, R9",0603_R,C25804
10nF,"C1, C2, C3, C4",0603_C,C57112
10uF,C12,0603_C,C19702
12pF,"C8, C9",0603_C,C38523
16MHz,X1,SMD-3225_4P,C13738
20k,"R10, R11, R14, R15",0603_R,C4184
22R,"R12, R13",0603_R,C23345
100nF,"C5, C10",0603_C,C14663
ATMEGA32U4-MU,IC1,QFN-44_EP_7x7x0.5P,C112161
B5819W,D15,SOD-123,C8598
